flag,month,pooled_diff,avg_disaggregated_diff,difference_pooled_vs_disagg,max_orchard_diff,min_orchard_diff,orchard_details
post_harvest_cold,March,-0.4161750000000001,-0.6060500000000001,0.18987500000000002,0.6060500000000001,0.6060500000000001,"[('HC_O1', np.float64(-0.6060500000000001))]"
post_harvest_cold,April,-0.41914999999999997,-0.60775,0.18860000000000005,0.60775,0.60775,"[('HC_O1', np.float64(-0.60775))]"
post_harvest_cold,May,-0.41935,-0.60785,0.1885,0.60785,0.60785,"[('HC_O1', np.float64(-0.60785))]"
post_harvest_cold,June,0.2149,-0.16155,0.37645,0.16155,0.16155,"[('HC_O1', np.float64(-0.16155))]"
post_harvest_cold,July,0.21285000000000007,-0.1619,0.37475,0.1619,0.1619,"[('HC_O1', np.float64(-0.1619))]"
post_harvest_cold,August,0.20982499999999998,-0.1666,0.376425,0.1666,0.1666,"[('HC_O1', np.float64(-0.1666))]"
post_harvest_dry,September,-0.0006000000000000033,-0.0010499999999999989,0.00044999999999999554,0.0010499999999999989,0.0010499999999999989,"[('HC_O2', np.float64(-0.0010499999999999989))]"
post_harvest_dry,October,0.0008000000000000021,-9.99999999999994e-05,0.0009000000000000015,9.99999999999994e-05,9.99999999999994e-05,"[('HC_O2', np.float64(-9.99999999999994e-05))]"
post_harvest_dry,November,0.002450000000000001,0.0011000000000000003,0.0013500000000000005,0.0011000000000000003,0.0011000000000000003,"[('HC_O2', np.float64(0.0011000000000000003))]"
post_harvest_dry,December,-0.0033999999999999864,0.047750000000000015,-0.05115,0.047750000000000015,0.047750000000000015,"[('HC_O2', np.float64(0.047750000000000015))]"
post_harvest_dry,January,-0.0022499999999999742,0.043800000000000006,-0.04604999999999998,0.043800000000000006,0.043800000000000006,"[('HC_O2', np.float64(0.043800000000000006))]"
post_harvest_dry,February,-0.0044500000000000095,0.043149999999999994,-0.0476,0.043149999999999994,0.043149999999999994,"[('HC_O2', np.float64(0.043149999999999994))]"
post_harvest_dry,March,0.08737499999999998,0.40104999999999996,-0.313675,0.40104999999999996,0.40104999999999996,"[('HC_O2', np.float64(0.40104999999999996))]"
post_harvest_dry,April,0.08397500000000008,0.3985,-0.31452499999999994,0.3985,0.3985,"[('HC_O2', np.float64(0.3985))]"
post_harvest_dry,May,0.084625,0.4001,-0.315475,0.4001,0.4001,"[('HC_O2', np.float64(0.4001))]"
post_harvest_dry,June,0.66755,0.7437499999999999,-0.07619999999999993,0.7437499999999999,0.7437499999999999,"[('HC_O2', np.float64(0.7437499999999999))]"
post_harvest_dry,July,0.66705,0.7465,-0.07945000000000002,0.7465,0.7465,"[('HC_O2', np.float64(0.7465))]"
post_harvest_dry,August,0.6627249999999999,0.7392,-0.07647500000000007,0.7392,0.7392,"[('HC_O2', np.float64(0.7392))]"
spring_cold,September,0.0006600000000000009,0.0007500000000000007,-8.99999999999998e-05,0.0007500000000000007,0.0007500000000000007,"[('HC_O2', np.float64(0.0007500000000000007))]"
spring_cold,October,0.0001999999999999988,0.0010999999999999968,-0.000899999999999998,0.0010999999999999968,0.0010999999999999968,"[('HC_O2', np.float64(0.0010999999999999968))]"
spring_cold,November,-0.003160000000000003,-0.0020499999999999997,-0.0011100000000000033,0.0020499999999999997,0.0020499999999999997,"[('HC_O2', np.float64(-0.0020499999999999997))]"
spring_cold,December,0.16214,0.1754,-0.013259999999999994,0.1754,0.1754,"[('HC_O2', np.float64(0.1754))]"
spring_cold,January,0.16463999999999995,0.18164999999999998,-0.017010000000000025,0.18164999999999998,0.18164999999999998,"[('HC_O2', np.float64(0.18164999999999998))]"
spring_cold,February,0.17318000000000003,0.19044999999999998,-0.017269999999999952,0.19044999999999998,0.19044999999999998,"[('HC_O2', np.float64(0.19044999999999998))]"
spring_cold,March,0.008399999999999963,-0.10264999999999999,0.11104999999999995,0.10264999999999999,0.10264999999999999,"[('HC_O2', np.float64(-0.10264999999999999))]"
spring_cold,April,0.00985999999999998,-0.10294999999999999,0.11280999999999997,0.10294999999999999,0.10294999999999999,"[('HC_O2', np.float64(-0.10294999999999999))]"
spring_cold,May,0.0025000000000000022,-0.11230000000000001,0.11480000000000001,0.11230000000000001,0.11230000000000001,"[('HC_O2', np.float64(-0.11230000000000001))]"
spring_cold,June,-0.54142,-0.38110000000000005,-0.16031999999999996,0.38110000000000005,0.38110000000000005,"[('HC_O2', np.float64(-0.38110000000000005))]"
spring_cold,July,-0.5433600000000001,-0.3854,-0.15796000000000004,0.3854,0.3854,"[('HC_O2', np.float64(-0.3854))]"
spring_cold,August,-0.54914,-0.3933,-0.15583999999999998,0.3933,0.3933,"[('HC_O2', np.float64(-0.3933))]"
spring_warm,September,0.0012600000000000042,0.0015000000000000013,-0.00023999999999999716,0.0015000000000000013,0.0015000000000000013,"[('HC_O1', np.float64(0.0015000000000000013))]"
spring_warm,October,-0.0001999999999999988,0.0006000000000000033,-0.0008000000000000021,0.0006000000000000033,0.0006000000000000033,"[('HC_O1', np.float64(0.0006000000000000033))]"
